1,a,Fort Worth,1990
2,b,Fort Worth,1991
3,a,Fort Worth,1992
4,b,ft Worth,1993
5,a,Fort Worth,1994
6,b,Fort Worth,1995
7,a,Fort Worth,1996
8,b,Fort Worth,1997
9,a,Fort Worth,1998
10,b,Fort Worth,1999
11,a,Fort Worth,2000
12,b,Fort Worth,2001
13,a,Fort Worth,2002
14,b,Fort Worth,2003
15,a,Fort Worth,2004
16,b,Fort Worth,2005
17,a,Fort Worth,2006
18,b,Fort Worth,2007
19,a,Fort Worth,2008
20,b,Fort Worth,2009
21,a,Fort Worth,2010
22,b,Fort Worth,2011
23,a,Fort Worth,2012
24,b,Fort Worth,2013
25,a,Fort Worth,2014
26,b,Fort Worth,2015
27,a,San Francisco,1990
28,b,San Francisco,1992
29,a,San Francisco,1994
30,b,San Francisco,1996
31,a,San Francisco,1998
32,b,San Francisco,2000
33,a,San Francisco,2002
34,b,San Francisco,2004
35,a,San Francisco,2006
36,b,San Francisco,2008
37,a,San Francisco,2010
38,b,sf,2012
39,a,San Francisco,2014
40,b,San Francisco,2016
41,a,San Francisco,2018
42,b,San Francisco,2020
43,a,San Francisco,2022
44,b,San Francisco,2024
45,a,San Francisco,2026
46,b,San Jose,1876
47,a,San Jose,1879
48,b,sj,1882
49,a,San Jose,1885
50,b,San Jose,1888
51,a,San Jose,1891
52,b,San Jose,1894
53,a,San Jose,1897
54,b,San Jose,1900
55,a,San Jose,1903
56,b,San Jose,1906
57,a,San Jose,1909
58,b,San Jose,1912
59,a,San Jose,1915
60,b,San Jose,1918
61,a,San Jose,1921
62,b,San Jose,1924
63,a,San Jose,1927
64,b,San Jose,1930
65,a,San Jose,1933
66,b,San Jose,1936
67,a,San Jose,1939
68,b,New york,1942
69,a,New york,1945
70,b,ny,1948
71,a,New york,1951
72,b,New york,1954
73,a,New york,1957
74,b,New york,1960
75,a,New york,1963
76,b,New york,1966
77,a,New york,1969
78,b,New york,1972
79,a,New york,1975
80,b,New york,1978
81,a,New york,1981
82,b,New york,1984
83,a,New york,1987
84,b,New york,1990
85,a,New york,1993
86,b,New york,1996
87,a,New york,1999
88,b,New york,2002
89,a,New york,2005
90,b,New york,2008
91,a,New york,2011
92,b,New york,2014
93,a,New Jersey,2017
94,b,New Jersey,2020
95,a,New Jersey,2023
96,b,New Jersey,2026
97,a,nj,2029
98,b,New Jersey,2032
99,a,New Jersey,2035
100,b,New Jersey,2038
